02/2011,PRINCETON TWP,Industrial,"4,566.604 THM",10,"28,893.000 KWH",17
02/2011,PRINCETON TWP,Residential,"1,255,661.196 THM","5,131","5,774,216.000 KWH","6,810"
02/2011,PRINCETON TWP,Street Lighting,,,"101,530.000 KWH",100
03/2011,PRINCETON BORO,Commercial,"1,968,264.410 THM",504,"12,165,351.000 KWH",970
03/2011,PRINCETON BORO,Industrial,"10,931.068 THM",21,"21,787.000 KWH",32
03/2011,PRINCETON BORO,Residential,"394,135.606 THM","3,133","2,149,137.000 KWH","4,083"
03/2011,PRINCETON BORO,Street Lighting,,,"55,962.000 KWH",92
03/2011,PRINCETON TWP,Commercial,"345,364.050 THM",320,"5,165,574.000 KWH",804
03/2011,PRINCETON TWP,Industrial,"3,603.582 THM",11,"38,230.000 KWH",20
03/2011,PRINCETON TWP,Residential,"1,002,410.279 THM","5,072","5,413,752.000 KWH","6,768"
03/2011,PRINCETON TWP,Street Lighting,,,"96,024.000 KWH",217
04/2011,PRINCETON BORO,Commercial,"1,797,320.091 THM",458,"12,716,314.000 KWH",909
04/2011,PRINCETON BORO,Industrial,"8,691.535 THM",20,"20,205.000 KWH",28
04/2011,PRINCETON BORO,Residential,"282,909.956 THM","3,052","1,826,976.000 KWH","3,819"
04/2011,PRINCETON BORO,Street Lighting,,,"54,855.000 KWH",50
04/2011,PRINCETON TWP,Commercial,"270,527.709 THM",278,"5,990,945.000 KWH",684
04/2011,PRINCETON TWP,Industrial,"2,333.925 THM",8,"31,903.000 KWH",18
04/2011,PRINCETON TWP,Residential,"688,165.088 THM","4,855","4,572,527.000 KWH","5,982"
04/2011,PRINCETON TWP,Street Lighting,,,"94,251.000 KWH",95
05/2011,PRINCETON BORO,Commercial,"1,019,939.761 THM",435,"17,365,249.000 KWH",861
05/2011,PRINCETON BORO,Industrial,"3,907.514 THM",19,"21,415.000 KWH",28
05/2011,PRINCETON BORO,Residential,"138,799.671 THM","3,058","1,758,088.000 KWH","3,807"
05/2011,PRINCETON BORO,Street Lighting,,,"49,894.000 KWH",50
05/2011,PRINCETON TWP,Commercial,"167,348.474 THM",275,"5,478,356.000 KWH",716
05/2011,PRINCETON TWP,Industrial,"1,541.428 THM",8,"54,875.000 KWH",18
05/2011,PRINCETON TWP,Residential,"294,934.194 THM","4,857","4,265,434.000 KWH","5,988"
05/2011,PRINCETON TWP,Street Lighting,,,"87,273.000 KWH",95
06/2011,PRINCETON BORO,Commercial,"1,110,183.389 THM",439,"14,759,521.000 KWH",875
06/2011,PRINCETON BORO,Industrial,"1,949.426 THM",19,"33,391.000 KWH",27
06/2011,PRINCETON BORO,Residential,"84,120.571 THM","3,083","2,468,589.000 KWH","3,842"
06/2011,PRINCETON BORO,Street Lighting,,,"47,216.000 KWH",49
06/2011,PRINCETON TWP,Commercial,"125,245.649 THM",272,"5,746,566.000 KWH",704
06/2011,PRINCETON TWP,Industrial,-66.476 THM,8,"8,177.000 KWH",18
06/2011,PRINCETON TWP,Residential,"187,218.437 THM","4,888","6,183,104.000 KWH","6,053"
06/2011,PRINCETON TWP,Street Lighting,,,"51,339.000 KWH",85
07/2011,PRINCETON BORO,Commercial,"1,212,637.567 THM",445,"14,690,376.000 KWH",893
07/2011,PRINCETON BORO,Industrial,"1,239.906 THM",19,"38,463.000 KWH",29
07/2011,PRINCETON BORO,Residential,"49,092.412 THM","3,058","2,854,000.000 KWH","3,803"
07/2011,PRINCETON BORO,Street Lighting,,,"23,658.000 KWH",67
07/2011,PRINCETON TWP,Commercial,"103,435.521 THM",274,"6,027,374.000 KWH",718
07/2011,PRINCETON TWP,Industrial,636.424 THM,8,"41,549.000 KWH",18
07/2011,PRINCETON TWP,Residential,"139,172.480 THM","4,913","7,426,399.000 KWH","6,076"
07/2011,PRINCETON TWP,Street Lighting,,,"121,003.000 KWH",105
08/2011,PRINCETON BORO,Commercial,"1,317,009.913 THM",445,"16,111,727.000 KWH",893
08/2011,PRINCETON BORO,Industrial,875.131 THM,19,"44,374.000 KWH",28
08/2011,PRINCETON BORO,Residential,"43,020.793 THM","3,155","3,320,328.000 KWH","3,880"
08/2011,PRINCETON BORO,Street Lighting,,,"43,964.000 KWH",50
08/2011,PRINCETON TWP,Commercial,"31,011.138 THM",285,"6,652,338.000 KWH",693
08/2011,PRINCETON TWP,Industrial,452.565 THM,8,"37,587.000 KWH",17
08/2011,PRINCETON TWP,Residential,"99,350.788 THM","4,894","8,204,297.000 KWH","6,050"
08/2011,PRINCETON TWP,Street Lighting,,,"86,803.000 KWH",91
09/2011,PRINCETON BORO,Commercial,"1,296,704.698 THM",451,"14,275,607.000 KWH",886
